# 双一流高校简称与英文缩写映射表
# 数据来源：教育部双一流建设高校名单（2022 年第二轮，147 所）
# 格式：全称|简称|英文缩写
# 简称为民间通用简称，英文缩写为国际通用校名缩写（如有）
# 无简称或无英文缩写时留空

# 北京（28 所）
北京大学|北大|PKU
中国人民大学|人大|RUC
清华大学|清华|THU
北京交通大学|北交大|BJTU
北京工业大学|北工大|BJUT
北京航空航天大学|北航|BUAA
北京理工大学|北理|BIT
北京科技大学|北科大|USTB
北京化工大学|北化|BUCT
北京邮电大学|北邮|BUPT
中国农业大学|中国农大|CAU
北京林业大学|北林|BFU
北京协和医学院|协和|PUMC
北京中医药大学|北中医|BUCM
北京师范大学|北师大|BNU
首都师范大学|首师大|CNU
北京外国语大学|北外|BFSU
中国传媒大学|中传|CUC
中央财经大学|中财|CUFE
对外经济贸易大学|对外经贸|UIBE
中央民族大学|中央民大|CUN
中国政法大学|法大|CUPL
华北电力大学|华电|NCEPU
中国科学院大学|国科大|UCAS
中国矿业大学（北京）|矿大（北京）|CUMTB
中国石油大学（北京）|石大（北京）|CUPB
中国地质大学（北京）|地大（北京）|CUGB
北京体育大学|北体|BISU

# 天津（5 所）
南开大学|南开|NKU
天津大学|天大|TJU
天津工业大学|天工大|TJPU
天津医科大学|天津医大|TMU
天津中医药大学|天中医|TJUCM

# 河北（1 所）
河北工业大学|河工大|HEBUT

# 山西（1 所）
山西大学|山大|SXU

# 内蒙古（1 所）
内蒙古大学|内大|IMU

# 辽宁（4 所）
大连理工大学|大工|DUT
东北大学|东大|NEU
辽宁大学|辽大|LNU
大连海事大学|大连海大|DMU

# 吉林（3 所）
吉林大学|吉大|JLU
延边大学|延大|YBU
长春理工大学|长理工|CUST

# 黑龙江（4 所）
哈尔滨工业大学|哈工大|HIT
哈尔滨工程大学|哈工程|HEU
东北农业大学|东北农大|NEAU
东北林业大学|东北林大|NEFU

# 上海（14 所）
复旦大学|复旦|FDU
同济大学|同济|TJU
上海交通大学|上交|SJTU
华东理工大学|华理|ECUST
东华大学|东华|DHU
上海海洋大学|上海海大|SHOU
上海中医药大学|上中医|SHUTCM
华东师范大学|华东师大|ECNU
上海外国语大学|上外|SISU
上海财经大学|上财|SUFE
上海体育学院|上体|SUS
上海音乐学院|上音|SHCM
上海大学|上大|SHU
上海科技大学|上科大|ShanghaiTech

# 江苏（16 所）
南京大学|南大|NJU
苏州大学|苏大|SUDA
东南大学|东南|SEU
南京航空航天大学|南航|NUAA
南京理工大学|南理工|NJUST
中国矿业大学|矿大|CUMT
南京邮电大学|南邮|NJUPT
河海大学|河海|HHU
江南大学|江南|JIANGNAN
南京林业大学|南林|NJFU
南京信息工程大学|南信大|NUIST
南京农业大学|南农|NJAU
南京医科大学|南医大|NJMU
南京中医药大学|南中医|NJUCM
中国药科大学|药大|CPU
南京师范大学|南师大|NNU

# 浙江（2 所）
浙江大学|浙大|ZJU
中国美术学院|国美|CAA

# 安徽（3 所）
安徽大学|安大|AHU
中国科学技术大学|中科大|USTC
合肥工业大学|合工大|HFUT

# 福建（2 所）
厦门大学|厦大|XMU
福州大学|福大|FZU

# 江西（1 所）
南昌大学|南大|NCU

# 山东（3 所）
山东大学|山大|SDU
中国海洋大学|中国海大|OUC
中国石油大学（华东）|石大|UPC

# 河南（2 所）
郑州大学|郑大|ZZU
河南大学|河大|HENU

# 湖北（7 所）
武汉大学|武大|WHU
华中科技大学|华科|HUST
中国地质大学（武汉）|地大|CUG
武汉理工大学|武汉理工|WUT
华中农业大学|华农|HZAU
华中师范大学|华师|CCNU
中南财经政法大学|中南财大|ZUEL

# 湖南（5 所）
湘潭大学|湘大|XTU
湖南大学|湖大|HNU
中南大学|中南|CSU
湖南师范大学|湖南师大|HUNNU
国防科技大学|国科大|NUDT

# 广东（5 所）
中山大学|中大|SYSU
暨南大学|暨大|JNU
华南理工大学|华工|SCUT
华南农业大学|华南农大|SCAU
华南师范大学|华师|SCNU

# 广西（1 所）
广西大学|西大|GXU

# 海南（1 所）
海南大学|海大|HAINNU

# 重庆（2 所）
重庆大学|重大|CQU
西南大学|西大|SWU

# 四川（8 所）
四川大学|川大|SCU
